trial,decision,response time,Trial_File,num,p1,p2,p3,p4,num',p1',p2',p3',p4',P1'-P1,P2'-P2,P3'-P3,P4'-P4
72.0,1.0,2.4127771,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,72,-46.0937589806411,88.011564716122,-41.5065658457068,-53.5929425038308,772,-53.8259123164849,37.6701691778319,-86.142425939721,-7.95202171414099,-7.732153335843805,-50.341395538290094,-44.63586009401419,45.64092078968981
73.0,0.0,2.0715497,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,73,-80.1203079036517,-22.011593456476,32.4625247345733,-69.6377089657654,773,-32.4296987449021,-11.6388510981081,1.27350618545646,23.5881287898273,47.69060915874961,10.3727423583679,-31.18901854911684,93.22583775559269
74.0,0.0,1.9183753,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,74,-70.1864202321949,-26.2271575527044,-73.878103397831,-66.4132385319822,774,84.339508926865,-29.8402665101205,-2.04678938188932,46.7115228854467,154.5259291590599,-3.613108957416099,71.83131401594167,113.1247614174289
75.0,0.0,1.851729,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,75,-50.1898839129284,31.1831340177563,-51.2487569949606,42.6175284026966,775,59.8082174173568,23.5210934392291,73.4510392048071,62.8259471621887,109.99810133028521,-7.662040578527197,124.6997961997677,20.208418759492098
76.0,0.0,1.8088404,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,76,-0.0341649427806369,-76.0253900555396,-29.6083837228686,40.1981271804873,776,-24.2290875314096,4.68583564286882,9.05024761237396,-73.0891619302017,-24.194922588628963,80.71122569840843,38.65863133524256,-113.28728911068899
77.0,1.0,3.1265581,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,77,22.6536937378782,52.1319684386461,-47.0219831771309,85.0689730696852,777,-33.11538336841,-0.664535363715338,-86.7480075451183,48.704100691474,-55.7690771062882,-52.796503802361435,-39.7260243679874,-36.3648723782112
78.0,0.0,2.1949626,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,78,2.79806544865961,39.3078112215907,-47.13381800708,65.7708040277798,778,24.1191812860636,-27.7346063406431,2.20013847125716,82.6247483992493,21.32111583740399,-67.0424175622338,49.333956478337164,16.853944371469495
79.0,0.0,2.3312216,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,79,69.1325147861674,31.4191925182897,28.7148972049356,-41.9292520089316,779,61.9105925979861,66.6948439451996,8.41148948760852,69.4926526323836,-7.221922188181303,35.27565142690989,-20.30340771732708,111.4219046413152
80.0,1.0,2.6121343,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,80,44.2799525487679,-16.55636186492,-15.551618751535,33.3910193191397,780,9.85665624625195,-45.9588555755414,6.52655223594158,6.63975436862998,-34.42329630251595,-29.4024937106214,22.078170987476582,-26.75126495050972
81.0,1.0,2.6493432,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,81,-86.1601964826585,-57.1686367981243,17.215473736399,27.6616110357759,781,-50.164738902181,-10.4449852846022,-63.4324283354677,-25.1307069263414,35.995457580477506,46.7236515135221,-80.6479020718667,-52.792317962117295
82.0,0.0,2.1693747,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,82,-22.4391920346863,-49.7282249607546,-45.628091452887,30.5975273233224,782,-35.5446215471673,23.2754738552032,-1.47122233757327,12.7546772325975,-13.105429512481003,73.0036988159578,44.156869115313725,-17.8428500907249
83.0,1.0,2.2598104,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,83,-34.1902239833051,60.0212683570495,6.18728969512866,-75.3623278593867,783,-19.7217898724229,-63.2405088515088,-75.1757954187614,71.8508544375614,14.468434110882203,-123.2617772085583,-81.36308511389005,147.2131822969481
84.0,0.0,2.0008275,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,84,46.7691076693314,-59.9926258855751,82.7432799491831,-18.5356962546287,784,5.72177249593726,-59.0192080775224,48.9693354674502,51.604807588049,-41.04733517339414,0.9734178080527016,-33.773944481732904,70.1405038426777
85.0,0.0,2.3446718,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,85,-68.7269190503416,-53.4442467522666,-13.7442452961578,56.3275518744862,785,-57.9887672074587,-25.5019263491801,-45.1753848928686,14.835946222518,10.738151842882907,27.9423204030865,-31.4311395967108,-41.4916056519682
86.0,0.0,2.5756928,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,86,32.918505606805,-49.9252872614436,-54.5713715446456,-71.2918634115476,786,-58.7641585999781,-30.3339221861006,2.84757288413116,38.3969968296718,-91.6826642067831,19.591365075343,57.41894442877676,109.6888602412194
87.0,1.0,2.3141937,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,87,62.9852032505295,15.8560579227692,21.9527280208716,-23.5410368370287,787,-31.8486752612254,-33.5521823629298,-62.4502213145886,-29.2128894225994,-94.8338785117549,-49.408240285698994,-84.4029493354602,-5.671852585570701
88.0,0.0,2.0697962,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,88,-58.6237968390568,-14.3705036998672,-24.7466306243612,-70.313266244217,788,-59.3975354112438,39.7084706363923,76.3011142327096,-8.75946679666993,-0.7737385721869998,54.0789743362595,101.0477448570708,61.55379944754708
89.0,0.0,1.9047212,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,89,71.605857924693,-51.1652260381388,36.7674805048811,60.1361793265332,789,1.01003110560603,-25.5464613763636,-35.3720329068673,-5.2853504468316,-70.59582681908697,25.6187646617752,-72.1395134117484,-65.4215297733648
90.0,1.0,1.7610149,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,90,-6.94449333337971,77.6027332522509,40.7685793550262,88.5412683057676,790,25.662235547332,-4.34539508899765,45.6423315158055,-10.0528648340641,32.60672888071171,-81.94812834124855,4.873752160779304,-98.5941331398317
91.0,1.0,2.521409,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,91,-68.9267339231669,-29.3887868354763,59.3613565458804,53.5411963097779,791,-7.26316217010305,-12.0627162424508,-85.4872292884019,-47.6196146926736,61.663571753063856,17.3260705930255,-144.8485858342823,-101.16081100245151
92.0,1.0,1.8308232,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,92,-10.5156275274811,37.2426551046748,31.1686830491421,50.2856471153498,792,78.4066111380608,-70.1297644543034,54.4907586485451,-20.887643682404,88.9222386655419,-107.37241955897821,23.322075599403004,-71.17329079775381
93.0,1.0,2.0014752,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,93,-41.0657073556942,-26.0023201985321,19.8326660398016,46.6522644619315,793,-75.7327733274896,-13.1912222455015,54.4044642983792,-15.0844666988514,-34.667065971795395,12.8110979530306,34.5717982585776,-61.7367311607829
